term;tag;value
гениальные идеи;PSTV;3.0
младшая сестра;PSTV;3.0
русское государство;PSTV;3.0
несравненный;PSTV;3.0
райское наслаждение;PSTV;3.0
лучше всего;PSTV;3.0
молодой;PSTV;3.0
сплошное удовольствие;PSTV;3.0
праздничное настроение;PSTV;3.0
Калина;PSTV;3.0
удачный день;PSTV;3.0
массаж;PSTV;3.0
дар;PSTV;3.0
влюбиться по уши;PSTV;3.0
адреналин;PSTV;3.0
истинное счастье;PSTV;3.0
мягко;PSTV;3.0
от всей души;PSTV;3.0
большой приз;PSTV;3.0
женская любовь;PSTV;3.0
крик радости;PSTV;3.0
фартовый;PSTV;3.0
красава;PSTV;3.0
Пица;PSTV;3.0
олимпийская медаль;PSTV;3.0
пресная вода;PSTV;3.0
безукоризненный;PSTV;3.0
спинномозговая жидкость;PSTV;3.0
незабываемо;PSTV;3.0
распрекрасный;PSTV;3.0
весёлая компания;PSTV;3.0
кролики;PSTV;3.0
правильный треугольник;PSTV;3.0
успешность;PSTV;3.0
дзэн;PSTV;3.0
мать;PSTV;3.0
непревзойдённость;PSTV;3.0
торжествовать;PSTV;3.0
клубника;PSTV;3.0
творожок;PSTV;3.0
ценный подарок;PSTV;3.0
отпад;PSTV;3.0
сногсшибательный;PSTV;3.0
влюблённость;PSTV;3.0
великокняжеский;PSTV;3.0
свободный;PSTV;3.0
золотая жила;PSTV;3.0
сексуальное влечение;PSTV;3.0
любовный экстаз;PSTV;3.0
идеальный мир;PSTV;3.0
божественный голос;PSTV;3.0
выпускник;PSTV;3.0
телепортация;PSTV;3.0
триумф;PSTV;3.0
возликовать;PSTV;3.0
подфартить;PSTV;3.0
вершина наслаждения;PSTV;3.0
ходячая энциклопедия;PSTV;3.0
акваланг;PSTV;3.0
земляника;PSTV;3.0
чувство радости;PSTV;3.0
как из рога изобилия;PSTV;3.0
офигенный;PSTV;3.0
покатиться со смеху;PSTV;3.0
офигенно;PSTV;3.0
стопудов;PSTV;3.0
талантливейший;PSTV;3.0
источник наслаждения;PSTV;3.0
счастливая;PSTV;3.0
нежное тепло;PSTV;3.0
шашлыки;PSTV;3.0
запал;PSTV;3.0
полнота чувств;PSTV;3.0
хохотать;PSTV;3.0
фанат;PSTV;3.0
волшебная сила;PSTV;3.0
свежий ветер;PSTV;3.0
идеальная жизнь;PSTV;3.0
миросозерцание;PSTV;3.0
преданный всей душой;PSTV;3.0
грандиозный;PSTV;3.0
шопинг;PSTV;3.0
язык;PSTV;3.0
пленэр;PSTV;3.0
расслабленность;PSTV;3.0
горячий шоколад;PSTV;3.0
фантастика;PSTV;3.0
вторая половина;PSTV;3.0
уменьшились цены;PSTV;3.0
отпускная;PSTV;3.0
жареный хлеб;PSTV;3.0
половое возбуждение;PSTV;3.0
продуктивность;PSTV;3.0
партнёрша;PSTV;3.0
песни;PSTV;3.0
блестящая победа;PSTV;3.0
страстный поцелуй;PSTV;3.0
ошеломительный;PSTV;3.0
киса;PSTV;3.0
релакс;PSTV;3.0
понаслаждаться;PSTV;3.0
почувствовать;PSTV;3.0
аттестованный;PSTV;3.0
первое место;PSTV;3.0
летний;PSTV;3.0
войти в историю;PSTV;3.0
французский поцелуй;PSTV;3.0
головокружительный;PSTV;3.0
расслабление;PSTV;3.0
кленовый сироп;PSTV;3.0
на полную катушку;PSTV;3.0
гармонизация;PSTV;3.0
обожать;PSTV;2.947368421
прыгать от радости;PSTV;2.947368421
счастливая жизнь;PSTV;2.94117647
триумфатор;PSTV;2.933333333
гран-при;PSTV;2.916666666
блаженствовать;PSTV;2.916666666
богоподобный;PSTV;2.909090909
джекпот;PSTV;2.909090909
ржачно;PSTV;2.909090909
феерия;PSTV;2.909090909
веселиться;PSTV;2.909090909
страстно;PSTV;2.909090909
научиться;PSTV;2.909090909
кайфово;PSTV;2.909090909
чистое везение;PSTV;2.9
бесплатный;PSTV;2.9
величайший восторг;PSTV;2.9
удовольствие;PSTV;2.9
кислород;PSTV;2.9
на седьмом небе;PSTV;2.894736842
счастье;PSTV;2.87804878
дикий восторг;PSTV;2.875
эйфория;PSTV;2.875
безумно;PSTV;2.8666666660000004
иметь успех;PSTV;2.863636363
вкуснятина;PSTV;2.857142857
райский;PSTV;2.8461538460000004
счастие;PSTV;2.8461538460000004
совершенство;PSTV;2.84
невероятная любовь;PSTV;2.833333333
купаться в роскоши;PSTV;2.833333333
оргазм;PSTV;2.8235294110000004
победоносный;PSTV;2.8235294110000004
именинник;PSTV;2.818181818
братская дружба;PSTV;2.818181818
путешествия;PSTV;2.818181818
вечеринка;PSTV;2.818181818
культовый;PSTV;2.818181818
улёт;PSTV;2.818181818
окончательная победа;PSTV;2.8125
восторжествовать;PSTV;2.8
женская грудь;PSTV;2.8
феерический;PSTV;2.8
нежнейший;PSTV;2.8
безбашенный;PSTV;2.8
ликующий;PSTV;2.8
чистый воздух;PSTV;2.769230769
свободное время;PSTV;2.769230769
развитая страна;PSTV;2.75
пища богов;PSTV;2.75
выходной;PSTV;2.736842105
набит деньгами;PSTV;2.727272727
идеальный мужчина;PSTV;2.727272727
