term;tag;value;pstv;ngtv;neut;dunno;pstvNgtvDisagreementRatio
абажур;NEUT;0.08;0.185;0.037;0.58;0.198;0.0
аббатство;NEUT;0.1;0.192;0.038;0.578;0.192;0.0
аббревиатура;NEUT;0.08;0.196;0.0;0.63;0.174;0.0
абзац;NEUT;0.0;0.137;0.0;0.706;0.157;0.0
абиссинец;NEUT;0.28;0.151;0.113;0.245;0.491;0.19
абитуриент;NEUT;0.23;0.235;0.049;0.5;0.216;0.0
абитуриентка;NEUT;0.34;0.294;0.029;0.461;0.216;0.0
абонемент;NEUT;0.18;0.232;0.056;0.56;0.152;0.0
абонементный;NEUT;0.19;0.21;0.07;0.5;0.22;0.0
абонент;NEUT;0.0;0.075;0.075;0.675;0.175;0.0
абонентный;NEUT;0.0;0.073;0.0;0.61;0.317;0.0
абонентский;NEUT;0.0;0.071;0.0;0.822;0.107;0.0
абордаж;NGTV;-0.45;0.07;0.33;0.38;0.22;0.0
абордажный;NEUT;-0.19;0.137;0.171;0.384;0.308;0.11
абориген;NEUT;-0.02;0.063;0.167;0.624;0.146;0.0
аборигенка;NEUT;0.02;0.144;0.106;0.538;0.212;0.0
аборигенный;NEUT;-0.08;0.079;0.167;0.526;0.228;0.0
аборт;NGTV;-0.68;0.067;0.515;0.314;0.104;0.0
абразив;NEUT;0.0;0.067;0.067;0.466;0.4;0.0
абракадабра;NEUT;-0.17;0.194;0.208;0.48;0.118;0.17
абрикос;PSTV;0.57;0.5;0.038;0.405;0.057;0.0
абрикосовый;NEUT;0.51;0.435;0.035;0.426;0.104;0.0
абсолют;NEUT;0.45;0.353;0.06;0.415;0.172;0.0
абсолютизировать;NEUT;0.19;0.186;0.138;0.419;0.257;0.08
абсолютизм;NEUT;0.24;0.225;0.171;0.415;0.189;0.16
абсолютность;NEUT;0.41;0.375;0.045;0.482;0.098;0.0
абсолютный;NEUT;0.32;0.309;0.04;0.51;0.141;0.0
абсорбировать;NEUT;0.24;0.252;0.068;0.525;0.155;0.0
абстрагирование;NEUT;0.0;0.065;0.032;0.742;0.161;0.0
абстрагировать;NEUT;0.05;0.157;0.118;0.539;0.186;0.0
абстрагироваться;NEUT;0.06;0.156;0.063;0.531;0.25;0.0
