term;tag;value
счастливая;PSTV;3.0
адреналин;PSTV;3.0
телепортация;PSTV;3.0
сбора;PSTV;3.0
партнёрша;PSTV;3.0
мать;PSTV;3.0
стопудов;PSTV;3.0
вожделенный;PSTV;3.0
вершина наслаждения;PSTV;3.0
бесподобность;PSTV;3.0
одухотворить;PSTV;3.0
полнота чувств;PSTV;3.0
омонимия;PSTV;3.0
клубника;PSTV;3.0
идеальная жизнь;PSTV;3.0
соглашатель;PSTV;3.0
высшая проба;PSTV;3.0
зажигательно;PSTV;3.0
земляника;PSTV;3.0
на полную катушку;PSTV;3.0
аттестованный;PSTV;3.0
ценный подарок;PSTV;3.0
захватывающий;PSTV;3.0
это был лучший концерт года;PSTV;3.0
лакомиться;PSTV;3.0
мягко;PSTV;3.0
дзэн;PSTV;3.0
искромётный;PSTV;3.0
триумфально;PSTV;3.0
красава;PSTV;3.0
праздничное настроение;PSTV;3.0
страстный поцелуй;PSTV;3.0
олимпийская медаль;PSTV;3.0
свежий ветер;PSTV;3.0
блестящая победа;PSTV;3.0
хохотать;PSTV;3.0
шашлыки;PSTV;3.0
гениальные идеи;PSTV;3.0
гениально;PSTV;3.0
разглаживаться;PSTV;3.0
уменьшились цены;PSTV;3.0
пленительный;PSTV;3.0
большой приз;PSTV;3.0
отпад;PSTV;3.0
всесилие;PSTV;3.0
красноармейская книжка;PSTV;3.0
влюбиться по уши;PSTV;3.0
головокружительный;PSTV;3.0
сплошное удовольствие;PSTV;3.0
возликовать;PSTV;3.0
грандиозный;PSTV;3.0
киса;PSTV;3.0
проспаться;PSTV;3.0
расслабленность;PSTV;3.0
волшебная сила;PSTV;3.0
расслабление;PSTV;3.0
райские кущи;PSTV;3.0
сверхточный;PSTV;3.0
механицизм;PSTV;3.0
продуктивность;PSTV;3.0
вдохнуть жизнь;PSTV;3.0
пять баллов;PSTV;3.0
понаслаждаться;PSTV;3.0
пресная вода;PSTV;3.0
комби;PSTV;3.0
душевное спокойствие;PSTV;3.0
живая вода;PSTV;3.0
покатиться со смеху;PSTV;3.0
золотая жила;PSTV;3.0
постелька;PSTV;3.0
кролики;PSTV;3.0
подфартить;PSTV;3.0
флип;PSTV;3.0
талантливейший;PSTV;3.0
правильный треугольник;PSTV;3.0
незабываемо;PSTV;3.0
русское государство;PSTV;3.0
половое возбуждение;PSTV;3.0
вторая половина;PSTV;3.0
божественно;PSTV;3.0
безупречно;PSTV;3.0
раскрасавица;PSTV;3.0
победоносно;PSTV;3.0
отпускная;PSTV;3.0
фанат;PSTV;3.0
жареный хлеб;PSTV;3.0
песни;PSTV;3.0
расслабон;PSTV;3.0
всепобеждающий;PSTV;3.0
идеальный мир;PSTV;3.0
свободный;PSTV;3.0
миросозерцание;PSTV;3.0
божественный голос;PSTV;3.0
чувство радости;PSTV;3.0
офигенно;PSTV;3.0
летний;PSTV;3.0
предельная полезность;PSTV;3.0
райское место;PSTV;3.0
триумф;PSTV;3.0
эпически;PSTV;3.0
шопинг;PSTV;3.0
кленовый сироп;PSTV;3.0
крик радости;PSTV;3.0
релакс;PSTV;3.0
фартить;PSTV;3.0
премиум-класс;PSTV;3.0
младшая сестра;PSTV;3.0
войти в историю;PSTV;3.0
членкор;PSTV;3.0
несравненный;PSTV;3.0
укрываться;PSTV;3.0
как из рога изобилия;PSTV;3.0
женская любовь;PSTV;3.0
райское наслаждение;PSTV;3.0
любовный экстаз;PSTV;3.0
непревзойдённость;PSTV;3.0
офигенный;PSTV;3.0
нежное тепло;PSTV;3.0
сногсшибательный;PSTV;3.0
торжествовать;PSTV;3.0
аттрактор;PSTV;3.0
обворожительно;PSTV;3.0
эдем;PSTV;3.0
почувствовать;PSTV;3.0
изобильно;PSTV;3.0
капоэйра;PSTV;3.0
упоенье;PSTV;3.0
акваланг;PSTV;3.0
Пица;PSTV;3.0
весёлая компания;PSTV;3.0
симметрично;PSTV;3.0
успешность;PSTV;3.0
нереальные выходные;PSTV;3.0
выпускник;PSTV;3.0
дар;PSTV;3.0
французский поцелуй;PSTV;3.0
молодой;PSTV;3.0
лучше всего;PSTV;3.0
от всей души;PSTV;3.0
аксиоматический;PSTV;3.0
безукоризненный;PSTV;3.0
умиротворить;PSTV;3.0
умереть от смеха;PSTV;3.0
удачный день;PSTV;3.0
ходячая энциклопедия;PSTV;3.0
превозмогать;PSTV;3.0
Калина;PSTV;3.0
замурчать;PSTV;3.0
истинное счастье;PSTV;3.0
язык;PSTV;3.0
обольстительно;PSTV;3.0
преданный всей душой;PSTV;3.0
ошеломительный;PSTV;3.0
массаж;PSTV;3.0
великокняжеский;PSTV;3.0
кент;PSTV;3.0
фартовый;PSTV;3.0
запал;PSTV;3.0
популярно;PSTV;3.0
фееричный;PSTV;3.0
гармонизация;PSTV;3.0
горячий шоколад;PSTV;3.0
преинтересно;PSTV;3.0
творческий подъем;PSTV;3.0
творожок;PSTV;3.0
фантастика;PSTV;3.0
кашмирский;PSTV;3.0
влюблённость;PSTV;3.0
отплясать;PSTV;3.0
распрекрасный;PSTV;3.0
пленэр;PSTV;3.0
источник наслаждения;PSTV;3.0
первое место;PSTV;3.0
ошеломительно;PSTV;2.947368421
райски;PSTV;2.947368421
прыгать от радости;PSTV;2.947368421
обожать;PSTV;2.947368421
счастливая жизнь;PSTV;2.94117647
невозможно оторваться;PSTV;2.933333333
триумфатор;PSTV;2.933333333
райский уголок;PSTV;2.928571428
отжигать;PSTV;2.923076923
гран-при;PSTV;2.9166666660000002
шикарный;PSTV;2.9166666660000002
блаженствовать;PSTV;2.9166666660000002
веселиться;PSTV;2.9090909089999997
феерия;PSTV;2.9090909089999997
страстно;PSTV;2.9090909089999997
научиться;PSTV;2.9090909089999997
ржачно;PSTV;2.9090909089999997
восхитить;PSTV;2.9090909089999997
кайфово;PSTV;2.9090909089999997
джекпот;PSTV;2.9090909089999997
богоподобный;PSTV;2.9090909089999997
величайший восторг;PSTV;2.9
омолаживаться;PSTV;2.9
чистое везение;PSTV;2.9
по-царски;PSTV;2.9
удовольствие;PSTV;2.9
кислород;PSTV;2.9
бесплатный;PSTV;2.9
на седьмом небе;PSTV;2.894736842
счастье;PSTV;2.87804878
дикий восторг;PSTV;2.875
эйфория;PSTV;2.875
безумно;PSTV;2.8666666660000004
иметь успех;PSTV;2.863636363
обхохотаться;PSTV;2.857142857
вкуснятина;PSTV;2.857142857
сексуальное влечение;PSTV;2.8461538460000004
счастие;PSTV;2.8461538460000004
райский;PSTV;2.8461538460000004
совершенство;PSTV;2.84
купаться в роскоши;PSTV;2.833333333
невероятная любовь;PSTV;2.833333333
оргазм;PSTV;2.8235294110000004
победоносный;PSTV;2.8235294110000004
братская дружба;PSTV;2.8181818180000002
улёт;PSTV;2.8181818180000002
именинник;PSTV;2.8181818180000002
путешествия;PSTV;2.8181818180000002
феерический;PSTV;2.8181818180000002
культовый;PSTV;2.8181818180000002
вечеринка;PSTV;2.8181818180000002
окончательная победа;PSTV;2.8125
восторжествовать;PSTV;2.8
долгожданность;PSTV;2.8
ликующий;PSTV;2.8
кайфовать;PSTV;2.8
безбашенный;PSTV;2.8
женская грудь;PSTV;2.8
беспроигрышный;PSTV;2.8
нежнейший;PSTV;2.8
чистый воздух;PSTV;2.769230769
свободное время;PSTV;2.769230769
рай на земле;PSTV;2.75
сногсшибательность;PSTV;2.75
развитая страна;PSTV;2.75
пища богов;PSTV;2.75
информативно;PSTV;2.75
выходной;PSTV;2.736842105
набит деньгами;PSTV;2.727272727
идеальный мужчина;PSTV;2.727272727
баснословно;PSTV;2.727272727
пьяный от мысли;PSTV;2.727272727
нирвана;PSTV;2.727272727
пожрать;PSTV;2.714285714
красотища;PSTV;2.714285714
хит;PSTV;2.714285714
сверхприбыль;PSTV;2.714285714
звёздное небо;PSTV;2.714285714
зимнее утро;PSTV;2.714285714
купаться в деньгах;PSTV;2.708333333
потрясающе;PSTV;2.7058823519999997
мирное сосуществование;PSTV;2.7
отдыхать;PSTV;2.7
топ;PSTV;2.7
по-евангельски;PSTV;2.7
козырный туз;PSTV;2.7
деликатесный;PSTV;2.7
смакование;PSTV;2.7
танцевальная музыка;PSTV;2.7
непобедимый;PSTV;2.7
сладчайший;PSTV;2.7
высшее наслаждение;PSTV;2.7
феноменально;PSTV;2.7
Париж;PSTV;2.7
творческий вечер;PSTV;2.7
лучшая ночь;PSTV;2.7
упражнения;PSTV;2.7
вкусные;PSTV;2.7
воцариться;PSTV;2.7
домой;PSTV;2.7
фиеста;PSTV;2.7
рай;PSTV;2.7
здоровья;PSTV;2.7
шикарная жизнь;PSTV;2.7
пати;PSTV;2.7
счастливец;PSTV;2.7
вознаграждать;PSTV;2.7
неописуемый восторг;PSTV;2.7
ласкательство;PSTV;2.7
наслаждение;PSTV;2.695652173
демобилизоваться;PSTV;2.692307692
убойная сила;PSTV;2.692307692
отдыхающий;PSTV;2.692307692
припеваючи;PSTV;2.692307692
лучше не бывает;PSTV;2.692307692
озолотить;PSTV;2.692307692
безграничное счастье;PSTV;2.692307692
правильное;PSTV;2.692307692
вечная молодость;PSTV;2.692307692
спокойствие души;PSTV;2.692307692
улыбка губы;PSTV;2.692307692
роскошно;PSTV;2.692307692
чистый разум;PSTV;2.692307692
умиротворённость;PSTV;2.692307692
экстаз;PSTV;2.6875
расслабляюще;PSTV;2.6875
совершеннейший;PSTV;2.6842105259999998
на седьмое небо;PSTV;2.681818181
потрясающий;PSTV;2.678571428
блаженно;PSTV;2.666666666
высокооплачиваемая работа;PSTV;2.666666666
замурлыкать;PSTV;2.666666666
пруха;PSTV;2.666666666
июнь;PSTV;2.666666666
большая радость;PSTV;2.666666666
радостное чувство;PSTV;2.666666666
россиянин;PSTV;2.666666666
высший пилотаж;PSTV;2.666666666
шедеврально;PSTV;2.666666666
триумфаторский;PSTV;2.666666666
противораковый;PSTV;2.666666666
кончить;PSTV;2.666666666
релаксация;PSTV;2.666666666
воистину;PSTV;2.666666666
киношедевр;PSTV;2.666666666
нельзя не влюбиться;PSTV;2.666666666
виртуозно;PSTV;2.666666666
родной дом;PSTV;2.666666666
золотое яйцо;PSTV;2.666666666
кристальная чистота;PSTV;2.666666666
вознестись;PSTV;2.666666666
гений;PSTV;2.666666666
отдохнувший;PSTV;2.666666666
счастливая семья;PSTV;2.666666666
облегчение;PSTV;2.666666666
зацеловывать;PSTV;2.666666666
порхать;PSTV;2.666666666
восхитительно;PSTV;2.666666666
круиз;PSTV;2.666666666
любяще;PSTV;2.666666666
развлекаться;PSTV;2.666666666
чудеса;PSTV;2.666666666
отличнейший;PSTV;2.666666666
вознаградить;PSTV;2.666666666
объятия;PSTV;2.666666666
творческое воображение;PSTV;2.666666666
счастливый билет;PSTV;2.666666666
премиальный;PSTV;2.666666666
деликатес;PSTV;2.666666666
несравнимо;PSTV;2.666666666
супергерой;PSTV;2.666666666
супер;PSTV;2.653846153
хорошая погода;PSTV;2.653846153
атмосфера праздника;PSTV;2.652173913
я люблю тебя;PSTV;2.652173913
зашибись;PSTV;2.652173913
сорвать банк;PSTV;2.65
налакомиться;PSTV;2.647058823
неоценимый вклад;PSTV;2.642857142
оригинальный подарок;PSTV;2.642857142
блаженство;PSTV;2.642857142
безупречность;PSTV;2.642857142
легко дышать;PSTV;2.642857142
глаза сияют;PSTV;2.642857142
радужный мост;PSTV;2.642857142
отдохнуть;PSTV;2.642857142
осилить;PSTV;2.642857142
счастливить;PSTV;2.642857142
пятница;PSTV;2.642857142
девчата;PSTV;2.642857142
желанный;PSTV;2.64
идеальный;PSTV;2.64
чумовой;PSTV;2.636363636
гиперкомпенсация;PSTV;2.636363636
марихуана;PSTV;2.636363636
массировать;PSTV;2.636363636
взаимная любовь;PSTV;2.636363636
удовлетворяться;PSTV;2.636363636
высший рейтинг;PSTV;2.636363636
обласкивать;PSTV;2.636363636
заслуга;PSTV;2.636363636
бро;PSTV;2.636363636
невероятный;PSTV;2.636363636
торжество;PSTV;2.636363636
выспаться;PSTV;2.636363636
добротный;PSTV;2.636363636
доходы;PSTV;2.636363636
святая;PSTV;2.636363636
неповторимый;PSTV;2.636363636
роскошь;PSTV;2.636363636
отменно;PSTV;2.636363636
офигеть;PSTV;2.636363636
высший уровень;PSTV;2.636363636
чистейший;PSTV;2.636363636
природа;PSTV;2.636363636
преимущественный;PSTV;2.636363636
расслабуха;PSTV;2.636363636
вдохновитель;PSTV;2.636363636
пицца;PSTV;2.636363636
юмор;PSTV;2.636363636
ошеломляюще;PSTV;2.636363636
желанность;PSTV;2.636363636
мультфильмы;PSTV;2.636363636
дебют;PSTV;2.636363636
творческая сила;PSTV;2.636363636
идиллический;PSTV;2.636363636
лучшее место;PSTV;2.636363636
победы;PSTV;2.636363636
парить в облаках;PSTV;2.636363636
по-нашему;PSTV;2.636363636
релакса;PSTV;2.636363636
романтически;PSTV;2.636363636
психологический тренинг;PSTV;2.636363636
прекрасное время;PSTV;2.636363636
карамель;PSTV;2.636363636
буря эмоций;PSTV;2.636363636
сам бог велел;PSTV;2.636363636
конфета;PSTV;2.636363636
непревзойдённый;PSTV;2.636363636
высокого качества;PSTV;2.636363636
радостно;PSTV;2.636363636
нобелевская премия;PSTV;2.636363636
ожидания оправдались;PSTV;2.636363636
мирное время;PSTV;2.636363636
востребованность;PSTV;2.636363636
варение;PSTV;2.636363636
последний урок;PSTV;2.636363636
свежие фрукты;PSTV;2.636363636
воодушевлять;PSTV;2.636363636
видеть;PSTV;2.636363636
страстная любовь;PSTV;2.636363636
веселеть;PSTV;2.636363636
открытие;PSTV;2.636363636
подарок судьбы;PSTV;2.625
страстный;PSTV;2.625
захватывающий дух;PSTV;2.625
блестящая репутация;PSTV;2.625
Новый год;PSTV;2.625
яркие впечатления;PSTV;2.620689655
удача;PSTV;2.6190476190000003
крупный выигрыш;PSTV;2.615384615
высшего качества;PSTV;2.615384615
горнолыжный спорт;PSTV;2.615384615
лёгкость;PSTV;2.615384615
высочайший;PSTV;2.615384615
победить;PSTV;2.615384615
разум;PSTV;2.615384615
ржака;PSTV;2.615384615
кульминационный момент;PSTV;2.615384615
секс;PSTV;2.615384615
идеал;PSTV;2.615384615
бесценный;PSTV;2.615384615
запорхать;PSTV;2.615384615
гранд;PSTV;2.615384615
харизматичность;PSTV;2.615384615
пять с плюсом;PSTV;2.615384615
олимпийский рекорд;PSTV;2.615384615
гулять;PSTV;2.615384615
воскресный отдых;PSTV;2.615384615
бурная ночь;PSTV;2.615384615
