term;tag;value;pstv;neut;ngtv;dunno;distortion
аббат;NEUT;0.3667;0.2574;0.3762;0.0693;0.297;0.088
аббревиатура;NEUT;0.0;0.16;0.72;0.0;0.12;0.0
абзац;NEUT;0.0;0.1481;0.7037;0.0;0.1481;0.0
абонемент;NEUT;0.1757;0.2381;0.581;0.0476;0.1333;0.0571
абонентный;NEUT;0.0;0.0;0.72;0.0;0.28;0.0
абордажный;NEUT;-0.1205;0.1215;0.3925;0.1682;0.3178;0.2092
абориген;NEUT;0.0;0.04;0.64;0.16;0.16;0.05
аборт;NGTV;-0.7832;0.0686;0.2647;0.5784;0.0882;0.0768
абракадабра;NEUT;-0.0935;0.1748;0.4854;0.2233;0.1165;0.3115
абрикос;PSTV;0.584;0.505;0.396;0.0396;0.0594;0.0427
абрикосовый;NEUT;0.46;0.4;0.45;0.03;0.12;0.0323
абсолют;NEUT;0.4832;0.3714;0.3905;0.0571;0.181;0.0659
абсолютизировать;NEUT;0.1136;0.1776;0.4112;0.1308;0.2804;0.2273
абсолютность;NEUT;0.4024;0.37;0.49;0.05;0.09;0.0568
абсолютный;NEUT;0.2297;0.2647;0.5588;0.049;0.1275;0.0581
абстрактность;NEUT;0.0;0.12;0.72;0.0;0.16;0.0
абстрактный;NEUT;0.0;0.1667;0.6667;0.0667;0.1;0.0933
абстракция;NEUT;0.0;0.1333;0.6667;0.0667;0.1333;0.1
абсурдность;NGTV;-1.0;0.0;0.04;0.96;0.0;0.0
абсурдный;NGTV;-0.9;0.0706;0.2235;0.6706;0.0353;0.078
абхазец;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
абхазский;NEUT;0.0;0.0;1.0;0.0;0.0;0.0
авангард;NEUT;0.473;0.3462;0.375;0.0673;0.2115;0.0804
аванс;NEUT;0.5308;0.4381;0.4;0.0762;0.0857;0.0894
авантюра;NGTV;-0.4909;0.1981;0.2075;0.4528;0.1415;0.2848
авантюризм;NEUT;-0.2753;0.1698;0.3302;0.3302;0.1698;0.2571
авантюрист;NEUT;-0.1538;0.2079;0.297;0.297;0.198;0.3535
авантюристический;NEUT;0.1202;0.2816;0.2816;0.2136;0.2233;0.3756
авантюристка;NGTV;-0.4315;0.1727;0.2727;0.4091;0.1455;0.2457
авантюрный;NEUT;-0.0294;0.2636;0.2909;0.2818;0.1636;0.5103
аварийка;NEUT;-0.0968;0.1795;0.4786;0.2308;0.1111;0.3191
аварийный;NGTV;-1.0;0.0714;0.1571;0.6571;0.1143;0.0792
аварийщик;NEUT;0.0943;0.219;0.4571;0.1714;0.1524;0.3056
авария;NGTV;-1.0;0.08;0.04;0.84;0.04;0.0876
аватарка;NEUT;0.19;0.2277;0.5347;0.0792;0.1584;0.1068
август;NEUT;0.1864;0.27;0.64;0.01;0.08;0.0104
