slice;term;answer;ratio
EMO_ML:LINREG:EXT;благоприятный;118.2549;1.0
EMO_ML:LINREG:EXT;обольстительный;112.1179;1.0
EMO_ML:LINREG:EXT;бесподобный;111.4704;1.0
EMO_ML:LINREG:EXT;мама;111.2445;1.0
EMO_ML:LINREG:EXT;блистательный;110.2341;1.0
EMO_ML:LINREG:EXT;нет слов;100.0359;1.0
EMO_ML:LINREG:EXT;распрекрасный;99.5629;1.0
EMO_ML:LINREG:EXT;пленительный;92.4521;1.0
EMO_ML:LINREG:EXT;чарующий;87.7536;1.0
EMO_ML:LINREG:EXT;человеколюбивый;87.5981;1.0
EMO_ML:LINREG:EXT;благодушный;86.8717;1.0
EMO_ML:LINREG:EXT;не имеющий себе равных;85.7915;1.0
EMO_ML:LINREG:EXT;умереть и не встать;85.2984;1.0
EMO_ML:LINREG:EXT;безошибочный;85.1643;1.0
EMO_ML:LINREG:EXT;доброта;83.2785;1.0
EMO_ML:LINREG:EXT;резонный;82.6959;1.0
EMO_ML:LINREG:EXT;наслаждение;79.9759;1.0
EMO_ML:LINREG:EXT;неуязвимый;79.9206;1.0
EMO_ML:LINREG:EXT;ненаглядный;79.8621;1.0
EMO_ML:LINREG:EXT;благосклонный;79.2085;1.0
EMO_ML:LINREG:EXT;одобрительный;78.8516;1.0
EMO_ML:LINREG:EXT;несравненный;78.5265;1.0
EMO_ML:LINREG:EXT;непревзойдённый;78.2156;1.0
EMO_ML:LINREG:EXT;упоительный;76.4896;1.0
EMO_ML:LINREG:EXT;воркующий;76.1792;1.0
EMO_ML:LINREG:EXT;отрадный;75.9863;1.0
EMO_ML:LINREG:EXT;выигрышный;75.2811;1.0
EMO_ML:LINREG:EXT;неотразимый;75.0593;1.0
EMO_ML:LINREG:EXT;родимый;74.8337;1.0
EMO_ML:LINREG:EXT;милаша;74.5071;1.0
EMO_ML:LINREG:EXT;неподражаемый;74.5029;1.0
EMO_ML:LINREG:EXT;выше всяких похвал;74.4334;1.0
EMO_ML:LINREG:EXT;не знающий себе равных;74.3694;1.0
EMO_ML:LINREG:EXT;ни с чем не сравнимый;74.0416;1.0
EMO_ML:LINREG:EXT;радушный;73.8453;1.0
EMO_ML:LINREG:EXT;живописный;71.6858;1.0
EMO_ML:LINREG:EXT;честной;70.5232;1.0
EMO_ML:LINREG:EXT;корректный;69.8896;1.0
EMO_ML:LINREG:EXT;ни в сказке сказать ни пером описать;69.5029;1.0
EMO_ML:LINREG:EXT;величавость;68.4765;1.0
EMO_ML:LINREG:EXT;шаг вперёд;68.3129;1.0
EMO_ML:LINREG:EXT;увеселение;68.0194;1.0
EMO_ML:LINREG:EXT;бескорыстность;67.7245;1.0
EMO_ML:LINREG:EXT;беспримерный;67.2744;1.0
EMO_ML:LINREG:EXT;сострадательность;66.8844;1.0
EMO_ML:LINREG:EXT;блаженство;66.6395;1.0
EMO_ML:LINREG:EXT;фееричный;66.2753;1.0
EMO_ML:LINREG:EXT;кофе;65.4922;1.0
EMO_ML:LINREG:EXT;дети;65.3838;1.0
EMO_ML:LINREG:EXT;фешенебельный;64.6742;1.0
EMO_ML:LINREG:EXT;почтительный;64.5203;1.0
EMO_ML:LINREG:EXT;благообразный;64.4335;1.0
EMO_ML:LINREG:EXT;дочь;64.3384;1.0
EMO_ML:LINREG:EXT;терпимый;63.5101;1.0
EMO_ML:LINREG:EXT;семья;63.16;1.0
EMO_ML:LINREG:EXT;добросердечный;62.9923;1.0
EMO_ML:LINREG:EXT;лестный;62.9082;1.0
EMO_ML:LINREG:EXT;детство;62.6776;1.0
EMO_ML:LINREG:EXT;праздничное настроение;62.1531;1.0
EMO_ML:LINREG:EXT;уважение;61.9757;1.0
EMO_ML:LINREG:EXT;несомненный;61.5456;1.0
EMO_ML:LINREG:EXT;холя;61.4526;1.0
EMO_ML:LINREG:EXT;самозабвение;61.321;1.0
