slice;term;answer;ratio
TEZ:REL_TYPE;Баян/инструмент;VERTICAL;1.0
TEZ:REL_TYPE;Виктория/человек;VERTICAL;1.0
CLASS:BT/DISHES/FOOD;абрикосовое варенье;FOOD;1.0
CLASS:WEATHER;августовская жара;GOOD_WEATHER;1.0
CLASS:WEATHER;августовский день;GOOD_WEATHER;0.9375
CLASS:WEATHER;августовское солнце;GOOD_WEATHER;1.0
TEZ:REL_TYPE;автобус/место;PART/WHOLE;1.0
TEZ:REL_TYPE;автобус/транспорт;VERTICAL;0.9091
TEZ:REL_TYPE;автомобиль/транспорт;VERTICAL;0.9545
TEZ:REL_TYPE;автор/книга;PART/WHOLE;0.8462
TEZ:REL_TYPE;автор/человек;VERTICAL;1.0
TEZ:REL_TYPE;адвокат/профессия;VERTICAL;1.0
TEZ:REL_TYPE;адвокат/человек;VERTICAL;1.0
CLASS:WEATHER;адская жара;BAD_WEATHER;1.0
TEZ:REL_TYPE;академик/профессия;VERTICAL;1.0
TEZ:REL_TYPE;академик/человек;VERTICAL;1.0
TEZ:REL_TYPE;акация/дерево;VERTICAL;0.6875
TEZ:REL_TYPE;акация/куст;VERTICAL;1.0
TEZ:REL_TYPE;акация/растение;VERTICAL;1.0
TEZ:REL_TYPE;аксиома/наука;PART/WHOLE;1.0
TEZ:REL_TYPE;актёр/профессия;VERTICAL;0.7222
TEZ:REL_TYPE;актёр/человек;VERTICAL;0.9565
TEZ:REL_TYPE;алгебра/наука;VERTICAL;0.6957
CLASS:WEATHER;алое зарево;GOOD_WEATHER;0.9091
CLASS:WEATHER;алое сияние;GOOD_WEATHER;1.0
CLASS:WEATHER;альпийский луг;GOOD_WEATHER;1.0
CLASS:BT/DISHES/FOOD;алюминиевая кастрюля;DISHES;0.9286
CLASS:BT/DISHES/FOOD;алюминиевая кружка;DISHES;1.0
CLASS:BT/DISHES/FOOD;алюминиевая ложка;DISHES;1.0
CLASS:BT/DISHES/FOOD;алюминиевая миска;DISHES;1.0
CLASS:BT/DISHES/FOOD;алюминиевые ложки;DISHES;1.0
CLASS:BT/DISHES/FOOD;алюминиевые миски;DISHES;1.0
TEZ:REL_TYPE;амбар/помещение;VERTICAL;0.7692
TEZ:REL_TYPE;ананас/еда;VERTICAL;0.9524
