slice;parent;depth;answers
ENTITY;;0;PHYSICAL,ABSTRACT
PHYSICAL:ROLE;ENTITY;1;ORGANIC:LIFE,THING,CONSTRUCTION,CHEMICAL_SUBSTANCE,ORGANIC:FOOD,TRANSPORT,NATURAL_FORMATION,MATERIAL,FURNITURE
PHYSICAL:LIFE:ROLE;PHYSICAL:ROLE;2;HUMAN,ANIMAL,PLANT,GROUP_OF_PEOPLE,ANATOMY
PHYSICAL:HUMAN:ROLE;PHYSICAL:LIFE:ROLE;3;QUALITY,FUNCTION,POWER,ETHNONYM,KIN,FAITH
PHYSICAL:THING:ROLE;PHYSICAL:ROLE;2;TOOLS,WEARABLE,DISHES,INFORMATION,WEAPONS,MONEY_N_PAPERS,MUSIC
PHYSICAL:THING:FUNCTION;PHYSICAL:THING:ROLE;3;TAKE_N_HOLD,MEASURING,EM_ENERGY,COMPLEX_TECH,MODIFICATION,REMOVAL,SUPPORT,WRITING
PHYSICAL:CONSTRUCTION:CLASS;PHYSICAL:ROLE;2;DWELLING,BUILDING,CULTURE,BARRIER,INFRASTRUCTURE,NATURAL,MILITARY
ABSTRACT:ROLE;ENTITY;1;ACTION,PROP,HUMAN,INFORMATION,PHYSICS,SPACE_N_TIME,ABSTRACT
PHYSICAL:TOPOLOGY:CONTAINER;ENTITY;1;CONTAINER
PHYSICAL:TOPOLOGY:CONTAINER:CLASS;PHYSICAL:TOPOLOGY:CONTAINER;2;CONFINED_SPACE,CONTAINER,OPEN_AIR,CAVITY,BAG_OR_BOX
ABSTRACT:TOPOLOGY:CONTAINER;ENTITY;1;CONTAINER
ABSTRACT:TOPOLOGY:CONTAINER:CLASS;ABSTRACT:TOPOLOGY:CONTAINER;2;CONFINED_SPACE,OPEN_AIR,CONTAINER,CAVITY,BAG_OR_BOX
PHYSICAL:PLACE;ENTITY;1;PLACE
PHYSICAL:PLACE:ROLE;PHYSICAL:PLACE;2;NATURAL_FORMATION,PUBLIC_SERVICE,BUILDING,BUSINESS_N_INDUSTRY,COMPARTMENT
ABSTRACT:PLACE;ENTITY;1;PLACE
PHYSICAL:PROP:STATE;ENTITY;1;SOLID,FLUID,FABRIC,PLASTIC,SAND,PARTICLE,JELLY,CREAM
