slice;term;answer;ratio
NOUN:TANGIBLE;абажур;THING;1.0
TANGIBLE;абажур;YES;1.0
NOUN:TANGIBLE;аббат;LIFE;1.0
TANGIBLE;аббат;YES;1.0
TANGIBLE;абзац;NO;0.9231
NOUN:TANGIBLE;абонент;LIFE;1.0
TANGIBLE;абонент;YES;1.0
TANGIBLE;абордаж;NO;1.0
NOUN:TANGIBLE;абориген;LIFE;1.0
TANGIBLE;абориген;YES;1.0
TANGIBLE;аборт;NO;1.0
NOUN:TANGIBLE;абрикос;THING;0.9048
TANGIBLE;абрикос;YES;1.0
TANGIBLE;абстракция;NO;1.0
TANGIBLE;абсурд;NO;1.0
TANGIBLE;абсурдность;NO;1.0
TANGIBLE;авангард;NO;0.9167
TANGIBLE;авантюра;NO;1.0
TANGIBLE;авантюрист;YES;0.9167
TANGIBLE;аватар;YES;1.0
TANGIBLE;аватара;NO;1.0
TANGIBLE;август;NO;1.0
TANGIBLE;авианосец;YES;1.0
TANGIBLE;авиатор;YES;0.9091
TANGIBLE;авиация;NO;1.0
TANGIBLE;авокадо;YES;1.0
NOUN:TANGIBLE;авоська;THING;1.0
TANGIBLE;авоська;YES;1.0
NOUN:TANGIBLE;австриец;LIFE;1.0
TANGIBLE;австриец;YES;1.0
NOUN:TANGIBLE;авто;THING;1.0
TANGIBLE;авто;YES;1.0
TANGIBLE;автобиография;NO;1.0
NOUN:TANGIBLE;автобус;THING;1.0
TANGIBLE;автобус;YES;1.0
TANGIBLE;автокатастрофа;NO;1.0
NOUN:TANGIBLE;автомагистраль;PLACE;1.0
TANGIBLE;автомагистраль;YES;1.0
NOUN:TANGIBLE;автомат;THING;1.0
TANGIBLE;автомат;YES;1.0
TANGIBLE;автоматизация;NO;1.0
TANGIBLE;автоматизм;NO;1.0
NOUN:TANGIBLE;автоматчик;LIFE;0.9412
TANGIBLE;автоматчик;YES;1.0
NOUN:TANGIBLE;автомашина;THING;1.0
TANGIBLE;автомашина;YES;1.0
NOUN:TANGIBLE;автомобиль;THING;1.0
TANGIBLE;автомобиль;YES;1.0
TANGIBLE;автономия;NO;1.0
TANGIBLE;автономность;NO;1.0
NOUN:TANGIBLE;автор;LIFE;1.0
TANGIBLE;автор;YES;1.0
TANGIBLE;авторство;NO;0.9286
NOUN:TANGIBLE;авторучка;THING;1.0
TANGIBLE;авторучка;YES;1.0
NOUN:TANGIBLE;автострада;PLACE;1.0
TANGIBLE;автострада;YES;1.0
NOUN:TANGIBLE;агент;LIFE;1.0
TANGIBLE;агент;YES;1.0
NOUN:TANGIBLE;агитатор;LIFE;1.0
TANGIBLE;агитатор;YES;1.0
TANGIBLE;агитация;NO;1.0
TANGIBLE;агнец;YES;1.0
TANGIBLE;агония;NO;1.0
