slice;term;answer;ratio
EMO_ML:LINREG;мама;79.0658;1.0
EMO_ML:LINREG;доброта;61.8205;1.0
EMO_ML:LINREG;наслаждение;59.4131;1.0
EMO_ML:LINREG;блаженство;49.5846;1.0
EMO_ML:LINREG;дети;47.8876;1.0
EMO_ML:LINREG;кофе;47.7703;1.0
EMO_ML:LINREG;дочь;46.846;1.0
EMO_ML:LINREG;семья;46.3882;1.0
EMO_ML:LINREG;уважение;45.8826;1.0
EMO_ML:LINREG;детство;45.7533;1.0
EMO_ML:LINREG;радоваться;45.3119;1.0
EMO_ML:LINREG;веселье;44.1052;1.0
EMO_ML:LINREG;мамы;43.986;1.0
EMO_ML:LINREG;удовольствие;43.692;1.0
EMO_ML:LINREG;дочка;43.3283;1.0
EMO_ML:LINREG;счастье;43.1159;1.0
EMO_ML:LINREG;брат;42.9757;1.0
EMO_ML:LINREG;суфле;42.5209;1.0
EMO_ML:LINREG;забота;42.2449;1.0
EMO_ML:LINREG;культура;41.8014;1.0
EMO_ML:LINREG;лакомство;41.3336;1.0
EMO_ML:LINREG;гений;40.8628;1.0
EMO_ML:LINREG;отдыхать;40.6155;1.0
EMO_ML:LINREG;еда;40.5716;1.0
EMO_ML:LINREG;игра;40.5511;1.0
EMO_ML:LINREG;чудо;40.0855;1.0
EMO_ML:LINREG;отдых;39.9157;1.0
EMO_ML:LINREG;процветание;39.1862;1.0
EMO_ML:LINREG;свежесть;39.0857;1.0
EMO_ML:LINREG;тортик;38.8817;1.0
EMO_ML:LINREG;искусство;38.7299;1.0
EMO_ML:LINREG;родители;38.7159;1.0
EMO_ML:LINREG;запахи детства;38.704;1.0
EMO_ML:LINREG;подарок;38.3903;1.0
EMO_ML:LINREG;польза;38.0867;1.0
EMO_ML:LINREG;радость;37.9701;1.0
EMO_ML:LINREG;родной;37.8969;1.0
EMO_ML:LINREG;природа;37.817;1.0
EMO_ML:LINREG;ребёнок;37.4496;1.0
EMO_ML:LINREG;вафли;37.4158;1.0
EMO_ML:LINREG;кайф;37.2254;1.0
EMO_ML:LINREG;весёлый;36.8806;1.0
EMO_ML:LINREG;весёлость;36.8568;1.0
EMO_ML:LINREG;пикник;36.8154;1.0
EMO_ML:LINREG;радостный;36.5188;1.0
EMO_ML:LINREG;надёжность;36.4279;1.0
EMO_ML:LINREG;сладкий;36.3714;1.0
EMO_ML:LINREG;творчество;36.2548;1.0
EMO_ML:LINREG;джем;36.173;1.0
EMO_ML:LINREG;команда;36.0721;1.0
EMO_ML:LINREG;счастливый;36.0075;1.0
EMO_ML:LINREG;жизнь;35.8971;1.0
EMO_ML:LINREG;лето;35.857;1.0
EMO_ML:LINREG;позитив;35.8373;1.0
EMO_ML:LINREG;друзья;35.6118;1.0
EMO_ML:LINREG;зефир;35.594;1.0
EMO_ML:LINREG;теплоход;35.5712;1.0
EMO_ML:LINREG;благополучие;35.4368;1.0
EMO_ML:LINREG;семейство;35.2051;1.0
EMO_ML:LINREG;улыбаться;35.1604;1.0
EMO_ML:LINREG;вкусняшка;35.1429;1.0
EMO_ML:LINREG;круиз;35.058;1.0
EMO_ML:LINREG;выходной;34.991;1.0
EMO_ML:LINREG;благодарить;34.9554;1.0
EMO_ML:LINREG;май;34.9401;1.0
EMO_ML:LINREG;помощь;34.7942;1.0
EMO_ML:LINREG;десерт;34.6348;1.0
EMO_ML:LINREG;папа;34.4468;1.0
EMO_ML:LINREG;гармония;34.4308;1.0
EMO_ML:LINREG;пирожное;34.4206;1.0
EMO_ML:LINREG;вкуснятина;34.4059;1.0
EMO_ML:LINREG;лагерь;34.3875;1.0
EMO_ML:LINREG;герой;34.2346;1.0
EMO_ML:LINREG;любовь;34.2277;1.0
EMO_ML:LINREG;друг;34.2116;1.0
EMO_ML:LINREG;муза;34.1758;1.0
EMO_ML:LINREG;праздник;34.1291;1.0
EMO_ML:LINREG;праздники;33.9896;1.0
EMO_ML:LINREG;чистый воздух;33.8987;1.0
EMO_ML:LINREG;ласка;33.8977;1.0
EMO_ML:LINREG;каникулы;33.7945;1.0
EMO_ML:LINREG;женщина;33.7526;1.0
EMO_ML:LINREG;семьи;33.6336;1.0
EMO_ML:LINREG;весна;33.5296;1.0
EMO_ML:LINREG;милость;33.5093;1.0
EMO_ML:LINREG;весёлое;33.4988;1.0
EMO_ML:LINREG;заботливость;33.375;1.0
EMO_ML:LINREG;образ жизни;33.2814;1.0
EMO_ML:LINREG;достижение;33.2578;1.0
EMO_ML:LINREG;признательность;33.2373;1.0
EMO_ML:LINREG;нежность;33.2326;1.0
EMO_ML:LINREG;родня;33.1465;1.0
EMO_ML:LINREG;добрая;33.1126;1.0
EMO_ML:LINREG;доверие;33.1086;1.0
EMO_ML:LINREG;эйфория;33.0512;1.0
EMO_ML:LINREG;ответственность;33.0404;1.0
EMO_ML:LINREG;подарки;32.6688;1.0
EMO_ML:LINREG;летние каникулы;32.6296;1.0
EMO_ML:LINREG;оригинальный подарок;32.6128;1.0
EMO_ML:LINREG;мечта;32.5724;1.0
EMO_ML:LINREG;удача;32.5213;1.0
EMO_ML:LINREG;крем-брюле;32.3973;1.0
EMO_ML:LINREG;верность;32.3929;1.0
EMO_ML:LINREG;мамочка;32.2823;1.0
EMO_ML:LINREG;приятность;32.2643;1.0
EMO_ML:LINREG;вкусное;32.2219;1.0
EMO_ML:LINREG;профессор;32.2014;1.0
EMO_ML:LINREG;родственник;32.0708;1.0
EMO_ML:LINREG;диван;32.0365;1.0
EMO_ML:LINREG;отцовство;31.9936;1.0
EMO_ML:LINREG;чудный;31.9326;1.0
EMO_ML:LINREG;рождение;31.7877;1.0
EMO_ML:LINREG;жена;31.7022;1.0
EMO_ML:LINREG;доброе;31.6388;1.0
EMO_ML:LINREG;родственники;31.621;1.0
EMO_ML:LINREG;знание;31.4113;1.0
EMO_ML:LINREG;благо;31.3134;1.0
EMO_ML:LINREG;отпуск;31.3045;1.0
EMO_ML:LINREG;милота;31.2502;1.0
EMO_ML:LINREG;йогурт;31.1431;1.0
EMO_ML:LINREG;путешествие;30.9069;1.0
EMO_ML:LINREG;ёлка;30.8947;1.0
EMO_ML:LINREG;спорт;30.8846;1.0
EMO_ML:LINREG;взаимопонимание;30.8662;1.0
EMO_ML:LINREG;спасибо;30.8461;1.0
EMO_ML:LINREG;благодать;30.8387;1.0
EMO_ML:LINREG;здоровый образ жизни;30.8139;1.0
EMO_ML:LINREG;сладкое;30.7678;1.0
EMO_ML:LINREG;круто;30.706;1.0
EMO_ML:LINREG;эколог;30.6451;1.0
EMO_ML:LINREG;лидер;30.5245;1.0
EMO_ML:LINREG;блеск;30.4817;1.0
EMO_ML:LINREG;умиление;30.4422;1.0
EMO_ML:LINREG;месяц;30.2281;1.0
EMO_ML:LINREG;приз;30.2195;1.0
EMO_ML:LINREG;чудесное;30.2162;1.0
EMO_ML:LINREG;удовлетворение;30.1951;1.0
EMO_ML:LINREG;надёжный;30.1788;1.0
EMO_ML:LINREG;няшный;30.073;1.0
EMO_ML:LINREG;развитие;30.0061;1.0
EMO_ML:LINREG;рождения;29.9503;1.0
EMO_ML:LINREG;восхищение;29.921;1.0
EMO_ML:LINREG;близкий;29.9202;1.0
EMO_ML:LINREG;комфорт;29.9132;1.0
EMO_ML:LINREG;эклер;29.9074;1.0
EMO_ML:LINREG;выходные;29.8798;1.0
EMO_ML:LINREG;свежий;29.8405;1.0
EMO_ML:LINREG;благодарность;29.7441;1.0
EMO_ML:LINREG;родные;29.6513;1.0
EMO_ML:LINREG;успех;29.6311;1.0
EMO_ML:LINREG;куклы;29.5383;1.0
EMO_ML:LINREG;сирень;29.5261;1.0
EMO_ML:LINREG;солнышко;29.5258;1.0
EMO_ML:LINREG;красота;29.4292;1.0
EMO_ML:LINREG;какао;29.3712;1.0
EMO_ML:LINREG;март;29.3712;1.0
EMO_ML:LINREG;безе;29.3469;1.0
EMO_ML:LINREG;домик;29.3329;1.0
EMO_ML:LINREG;карусель;29.3209;1.0
EMO_ML:LINREG;благодарю;29.3157;1.0
EMO_ML:LINREG;развлечение;29.3016;1.0
EMO_ML:LINREG;глазурь;29.2698;1.0
EMO_ML:LINREG;солнечный;29.2677;1.0
EMO_ML:LINREG;отвага;29.2321;1.0
EMO_ML:LINREG;родная;29.2213;1.0
EMO_ML:LINREG;восторг;29.208;1.0
EMO_ML:LINREG;уют;29.2017;1.0
EMO_ML:LINREG;молодость;29.1576;1.0
EMO_ML:LINREG;экстаз;29.1517;1.0
EMO_ML:LINREG;смех;29.1409;1.0
EMO_ML:LINREG;совет;29.1221;1.0
EMO_ML:LINREG;умная;29.095;1.0
EMO_ML:LINREG;приятно;29.0299;1.0
EMO_ML:LINREG;человек;29.0209;1.0
EMO_ML:LINREG;любимая;28.9867;1.0
EMO_ML:LINREG;талант;28.9512;1.0
EMO_ML:LINREG;чемпион;28.9406;1.0
EMO_ML:LINREG;июнь;28.8649;1.0
EMO_ML:LINREG;вежливость;28.8603;1.0
EMO_ML:LINREG;здоровье;28.7771;1.0
EMO_ML:LINREG;релаксация;28.7452;1.0
EMO_ML:LINREG;восстановление;28.6945;1.0
EMO_ML:LINREG;август;28.68;1.0
EMO_ML:LINREG;изучать;28.6747;1.0
EMO_ML:LINREG;утро;28.6709;1.0
EMO_ML:LINREG;теплота;28.6192;1.0
EMO_ML:LINREG;мимими;28.5838;1.0
EMO_ML:LINREG;улыбка;28.5215;1.0
EMO_ML:LINREG;чудеса;28.4533;1.0
EMO_ML:LINREG;окружающая среда;28.4027;1.0
EMO_ML:LINREG;расцвет;28.3576;1.0
EMO_ML:LINREG;солнце;28.3537;1.0
EMO_ML:LINREG;мармелад;28.2179;1.0
EMO_ML:LINREG;верить;28.1989;1.0
EMO_ML:LINREG;оптимизм;28.1924;1.0
EMO_ML:LINREG;вежливый;28.1917;1.0
EMO_ML:LINREG;милосердие;28.137;1.0
EMO_ML:LINREG;сладость;28.1015;1.0
EMO_ML:LINREG;приключения;28.0732;1.0
EMO_ML:LINREG;суббота;28.0229;1.0
EMO_ML:LINREG;дружба;28.0174;1.0
EMO_ML:LINREG;эскимо;27.9861;1.0
EMO_ML:LINREG;лайнер;27.9124;1.0
EMO_ML:LINREG;семейная;27.8912;1.0
EMO_ML:LINREG;задоринка;27.891;1.0
EMO_ML:LINREG;нежный;27.851;1.0
EMO_ML:LINREG;хохотать;27.8109;1.0
EMO_ML:LINREG;родина;27.7351;1.0
EMO_ML:LINREG;смеяться;27.7333;1.0
EMO_ML:LINREG;интерес;27.6942;1.0
EMO_ML:LINREG;душевность;27.6717;1.0
EMO_ML:LINREG;расслабление;27.6285;1.0
EMO_ML:LINREG;вечеринка;27.5787;1.0
EMO_ML:LINREG;физкультура;27.5783;1.0
EMO_ML:LINREG;приятное;27.5653;1.0
EMO_ML:LINREG;удобство;27.487;1.0
EMO_ML:LINREG;кондитерская;27.4161;1.0
EMO_ML:LINREG;путешествовать;27.415;1.0
EMO_ML:LINREG;гость;27.3906;1.0
EMO_ML:LINREG;сказка;27.3162;1.0
EMO_ML:LINREG;мамка;27.2716;1.0
EMO_ML:LINREG;дом;27.2558;1.0
EMO_ML:LINREG;ликование;27.2164;1.0
EMO_ML:LINREG;желание;27.1956;1.0
EMO_ML:LINREG;академия;27.187;1.0
EMO_ML:LINREG;свобода;27.1822;1.0
EMO_ML:LINREG;тюльпаны;27.1346;1.0
EMO_ML:LINREG;забава;27.1287;1.0
EMO_ML:LINREG;воскресенье;27.1148;1.0
EMO_ML:LINREG;сладкая;27.059;1.0
EMO_ML:LINREG;пансионат;27.0286;1.0
EMO_ML:LINREG;июль;27.0038;1.0
EMO_ML:LINREG;лучший;26.9697;1.0
EMO_ML:LINREG;любимчик;26.9586;1.0
EMO_ML:LINREG;тренер;26.9208;1.0
EMO_ML:LINREG;халат;26.8829;1.0
EMO_ML:LINREG;дар;26.8652;1.0
EMO_ML:LINREG;понимание;26.858;1.0
EMO_ML:LINREG;счастливчик;26.8567;1.0
EMO_ML:LINREG;девушка;26.8393;1.0
EMO_ML:LINREG;мудрость;26.7762;1.0
EMO_ML:LINREG;диво;26.7534;1.0
EMO_ML:LINREG;рекорд;26.7422;1.0
EMO_ML:LINREG;отдохнувший;26.6749;1.0
EMO_ML:LINREG;чудесный;26.5928;1.0
EMO_ML:LINREG;сладости;26.5856;1.0
EMO_ML:LINREG;наука;26.5727;1.0
EMO_ML:LINREG;озарение;26.5496;1.0
EMO_ML:LINREG;воспитанность;26.5284;1.0
EMO_ML:LINREG;знания;26.5195;1.0
EMO_ML:LINREG;развлечения;26.4958;1.0
EMO_ML:LINREG;изучение;26.4701;1.0
EMO_ML:LINREG;цветение;26.4489;1.0
EMO_ML:LINREG;завтрак;26.4134;1.0
EMO_ML:LINREG;биология;26.3827;1.0
EMO_ML:LINREG;мячик;26.3669;1.0
EMO_ML:LINREG;тёплый;26.3519;1.0
EMO_ML:LINREG;улыбочка;26.3252;1.0
EMO_ML:LINREG;весёлая;26.2714;1.0
