slice;term;answer;ratio
EMOTION;АЭС;NEUT;1.0
EMOTION;Аврора;PSTV;1.0
EMOTION;Австрия;NEUT;1.0
EMOTION;Азия;PSTV;1.0
EMOTION;Айболит;PSTV;1.0
EMOTION;Аладдин;PSTV;0.9706
EMOTION;Алла;NEUT;1.0
EMOTION;Алладин;PSTV;0.95
EMOTION;Аллах;PSTV;0.7333
EMOTION;Алтай;2.5455;1.0
EMOTION;Альпы;NEUT;0.9615
EMOTION;Анаконда;NEUT;1.0
EMOTION;Андрей;NEUT;1.0
EMOTION;Анна;PSTV;1.0
EMOTION;Антихрист;NGTV;0.8421
EMOTION;Аня;NEUT;1.0
EMOTION;Арина;NEUT;0.6944
EMOTION;Аристотель;NEUT;0.7333
EMOTION;Армагеддон;-3.0000;1.0
EMOTION;Арсений;NEUT;1.0
EMOTION;Африка;NEUT;0.8462
EMOTION;ВИП-персона;PSTV;0.9545
EMOTION;Гавайи;PSTV;1.0
EMOTION;Гагарин;2.0000;1.0
EMOTION;Геракл;1.5000;1.0
EMOTION;Грузия;1.5714;1.0
EMOTION;Доска почёта;1.6522;1.0
EMOTION;Елизавета;1.6667;1.0
EMOTION;ЖКХ;NEUT;1.0
EMOTION;Золушка;PSTV;1.0
EMOTION;Израиль;NEUT;1.0
EMOTION;Испания;1.8095;1.0
EMOTION;Италия;PSTV;1.0
EMOTION;Казахстан;PSTV;1.0
EMOTION;Калина;3.0000;0.9474
EMOTION;Катюша;PSTV;1.0
EMOTION;Китай;PSTV;0.8462
EMOTION;Корея;1.7000;0.95
EMOTION;Крым;2.0000;1.0
EMOTION;Ксения;NEUT;1.0
EMOTION;Кубань;2.0909;1.0
EMOTION;Куни;PSTV;1.0
EMOTION;Лас-Вегас;2.2727;1.0
EMOTION;Литва;NEUT;1.0
EMOTION;Ломоносов;2.4167;1.0
EMOTION;Лофт;PSTV;1.0
EMOTION;Маяковский;PSTV;1.0
EMOTION;Москва;1.8000;1.0
EMOTION;Норвегия;NEUT;1.0
EMOTION;Оксана;NEUT;1.0
EMOTION;Олимп;PSTV;1.0
EMOTION;Островский;1.0000;1.0
EMOTION;Париж;2.7000;0.9375
EMOTION;Питер;2.5000;1.0
EMOTION;Пушкин;2.3636;1.0
EMOTION;Россия;2.1053;0.9697
EMOTION;Ростов-на-Дону;NEUT;1.0
EMOTION;Русь;2.2000;1.0
EMOTION;СССР;1.6000;0.8571
EMOTION;Санкт-Петербург;2.2000;1.0
EMOTION;Сибирь;PSTV;0.9032
EMOTION;Украина;PSTV;0.875
EMOTION;Урал;PSTV;1.0
EMOTION;Челябинск;NEUT;1.0
EMOTION;Шерлок Холмс;1.6000;0.8333
EMOTION;Эко;PSTV;1.0
EMOTION;а был ли мальчик?;NEUT;1.0
EMOTION;а воз и ныне там;NGTV;1.0
EMOTION;а именно;NEUT;1.0
EMOTION;а также;NEUT;1.0
EMOTION;абажур;1.2000;1.0
EMOTION;аббревиатура;NEUT;1.0
EMOTION;абзац;NEUT;1.0
EMOTION;абонент;NEUT;1.0
EMOTION;абориген;NEUT;1.0
EMOTION;аборт;-1.0000;1.0
EMOTION;абсолютный;NEUT;1.0
EMOTION;абстрагироваться;NEUT;1.0
EMOTION;абсурд;-1.5000;1.0
EMOTION;абсцесс;NGTV;1.0
EMOTION;абулия;NGTV;1.0
EMOTION;авангард;NEUT;1.0
EMOTION;аварийный;NGTV;1.0
EMOTION;авария;-2.0000;1.0
EMOTION;аварский язык;PSTV;1.0
EMOTION;авгиевы конюшни;-1.8000;0.9574
EMOTION;авгур;NEUT;1.0
EMOTION;август;PSTV;1.0
EMOTION;авто;1.6000;1.0
EMOTION;автомат;NO_DECISION;-1.0
EMOTION;автоматизация;NO_DECISION;-1.0
EMOTION;автомобиль;NO_DECISION;-1.0
EMOTION;автомойка;NEUT;1.0
EMOTION;автономия;NEUT;1.0
EMOTION;автор книг;NEUT;1.0
EMOTION;авторитарный;-1.6000;0.9
EMOTION;авторитет;1.7273;1.0
EMOTION;авторитетный;1.7000;1.0
EMOTION;агентесса;NEUT;1.0
EMOTION;агония;-3.0000;1.0
EMOTION;агрессивный;-1.7200;1.0
EMOTION;агрессия;-1.9524;1.0
EMOTION;агрессор;-1.9000;1.0
EMOTION;агроном;PSTV;0.9333
EMOTION;ад кромешный;-3.0000;1.0
EMOTION;адаптация;NEUT;0.7143
EMOTION;адаптировать;1.7000;1.0
EMOTION;адвокат;1.6000;1.0
EMOTION;адвокат Дьявола;-3.0000;1.0
EMOTION;адекватный;2.1111;0.9565
EMOTION;аджика;NEUT;1.0
EMOTION;адреналин;3.0000;1.0
EMOTION;адрес;NEUT;1.0
EMOTION;адрес дома;1.3636;1.0
EMOTION;адресант адресат;NEUT;1.0
EMOTION;адресат;NO_DECISION;-1.0
EMOTION;адское пекло;-2.8571;1.0
EMOTION;адюльтер;-1.9091;1.0
EMOTION;ажиотаж;NEUT;1.0
EMOTION;ажур;NEUT;1.0
EMOTION;азербайджанский;NEUT;1.0
EMOTION;азот;NEUT;1.0
EMOTION;аист;1.6000;1.0
EMOTION;айсберг;NEUT;1.0
EMOTION;академик;2.5000;0.8889
EMOTION;академия;1.6000;0.9
EMOTION;аквапарк;2.0000;1.0
EMOTION;акварель;NO_DECISION;-1.0
EMOTION;аккаунт;NEUT;1.0
EMOTION;аккомпанемент;NEUT;1.0
EMOTION;аккорд;NO_DECISION;-1.0
EMOTION;аккордеон;PSTV;1.0
EMOTION;аккуратный;1.8000;1.0
EMOTION;акробатика;1.5000;1.0
EMOTION;аксессуар;1.6250;1.0
EMOTION;аксессуары;1.6000;1.0
EMOTION;аксиома;NEUT;1.0
EMOTION;актёр;NEUT;1.0
EMOTION;актив;PSTV;1.0
EMOTION;активное сотрудничество;PSTV;0.8462
EMOTION;активность;1.6087;1.0
EMOTION;активный;PSTV;1.0
EMOTION;актуализация;1.7000;0.6897
EMOTION;актуальный;PSTV;1.0
EMOTION;акула бизнеса;PSTV;1.0
EMOTION;акцент;NEUT;1.0
EMOTION;алгебра;PSTV;1.0
EMOTION;алгоритм;NO_DECISION;-1.0
EMOTION;алиби;PSTV;1.0
EMOTION;алкоголь;NO_DECISION;-1.0
