INDEX_LETTER;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я
а;0.0;0.0034436132467949333;0.1171718304863521;0.0054389286966403695;0.00914475472208999;0.11516827499991743;0.0019083873276658752;0.0014209446400416867;0.0015016661567827778;0.1386818596967677;0.0023989115791940687;0.02605279587436521;0.012301811884098467;0.012574413243050397;0.02338566493007061;1.0;0.1198559153742904;0.016703299801828657;0.014733703425376058;0.00856390213056922;0.0355356612950898;0.012794509171719431;0.0018714428517889899;0.0010644688036295226;0.004696565388135105;0.004519768332871385;0.0;0.01366127871305616;0.06038754371751155;0.029658512796758688;0.01633158855805571;0.003345754988339248;0.08652999643766983
б;0.05602285378517928;0.0;0.2784585623767759;0.06141910223542582;0.7523636909097858;0.012865636132544652;0.027819849559333563;0.04678123812382402;0.06575047093442929;0.004121459193975343;0.017310128614696437;0.06986450234411228;0.038710071251373795;0.16071724721741526;0.09033631100625583;0.11119092378673072;0.5850508613572797;0.1315852241770905;0.06877437926213284;0.060917529690630495;0.00890235185898674;0.022438665941876306;0.005706635807042782;0.012364377581926028;0.03921718017696967;0.015516081671436583;0.012364377581926028;0.06807459596436839;0.014377870465718218;1.0;0.018546566372889043;0.916679560952915;0.0011591603983055652
в;0.9202560278336794;0.30692670581511594;0.0;0.10676326481764595;0.22332386583298106;0.09867741569171624;0.027214812377034398;0.05632858026813392;0.12444651172960564;0.06569331768855538;0.02339515350953235;0.34778093436732493;0.18897549204646055;0.24783099527295208;0.18129404027036095;0.22312632165546953;0.294080528993426;0.5125968983348382;0.30727758573875813;0.120248188447155;0.11693378310236488;1.0;0.09150022707511107;0.04207466685711017;0.13602062015868188;0.04571223185239898;0.016257510867811693;0.057566368027387765;0.6758748054296929;0.0028404457908250543;0.022723566326600435;0.0;0.022723566326600435
г;0.09373397623729726;0.037169874305046584;0.1026140088998911;0.0;0.07656783521212346;0.0828573861522962;0.04028795600881982;0.0497961049451764;0.14458036380976727;0.01940612778516923;0.021067243417103136;1.0;0.1322164134929034;0.06908717436373381;0.743979037017407;0.12761720099620338;0.08793366250349302;0.23412438316772552;0.07822266849447547;0.07483697068715613;0.07360583970613392;0.024924965957672563;0.1424478313921651;0.05110167029383617;0.09118727879442817;0.47717997052306577;0.018556472453069;0.03425810299028123;0.017129051495140615;0.017129051495140615;0.017129051495140615;0.0;9.258946754130063E-4
д;0.059698112911812914;0.3593035808328731;0.15821018477953802;0.08515285477104739;0.0;0.03917865007543287;0.0;0.6717095449399789;0.08509791549733273;0.03149213528766246;0.014996254898886887;0.10784023667591322;1.0;0.10711504402311188;0.16099664476780606;0.08739539093668842;0.11338697227823274;0.14963789564351154;0.09360231096892681;0.8720458863348285;0.03088419532457152;0.03997803690100491;0.025379448960773748;0.06244582361553971;0.11073001496100031;0.018209738091505508;0.002249438234833033;0.02249438234833033;0.027163599268687184;0.024315356157480882;0.011697078821131773;0.009828138622727354;4.4988764696660664E-4
е;0.1907499546251788;0.004008350213114273;0.006775530792290388;0.008787565308519305;0.0032485200845805105;0.0;0.0;0.004094135280789641;0.0047182702487607656;1.0;0.025340849916784397;0.143690144156055;0.004932832783115999;0.005762018287553375;0.10204086815548201;0.0988419991897059;0.007486411447769704;0.016078594961232574;0.011575237021141625;0.008774071424438984;0.10401587233748472;0.0014102021522719877;0.002272624167438324;0.008419902774875079;0.006798425926968289;0.0034117794006580347;1.5921637203070827E-4;0.008141871499635276;0.04233715663575276;0.030167161609066413;0.138887834200902;0.012751648164528295;0.08889358935308514
ё;0.13087950283799596;0.012572561297791971;0.0;0.011321263727869546;0.02264252745573909;0.0;0.0;0.0;0.0;0.12880899978947227;0.07758404560204467;0.12985006970425086;0.023423304264557684;0.015715361521791513;0.026874352241352654;1.0;0.04528505491147818;0.0;0.003937830861867668;0.0;0.08250582729569313;0.0015615536176371788;0.0;0.0;0.0;0.0;0.0017417328812106994;0.0;0.004528505491147819;0.025232542253492078;0.016052888081470155;0.05042963335217307;0.06555140379102126
ж;0.05675286615732166;0.019477315012571935;0.0698389051762098;0.06431130044596285;1.0;0.017462420356098973;0.0;0.0;0.3320817395287319;0.017462420356098973;0.0;0.048194894276455694;0.02149220966904489;0.047441452980343725;0.034924840712197945;0.06588094952528249;0.05500662412171176;0.07625256888829886;0.047316303465123756;0.033833439439941757;0.019733174651489133;0.08588981536061814;0.3076672412763367;0.015319595880167413;0.1209882815829469;0.7493499583962399;0.12566206087062864;0.02619363053414846;0.017462420356098973;0.01309681526707423;0.20614203882908386;0.03764064708720999;0.0
з;0.03850931378579471;0.04983447744628377;0.06270837481836689;0.06438605457727231;0.09468506949474298;0.0;0.004998220811065022;0.2733330036334538;0.0;0.05525126847305374;0.007969748188951999;0.06493439753404438;0.04674168406915789;0.003687059438389647;0.06967157197415917;0.05371429093680545;0.11290029771021896;0.18401723364233205;1.0;0.09172422911648251;0.0435214537223573;1.8660715498920489E-4;0.9224730041591713;0.16616891560270997;0.08771702579211312;0.033647831319229965;0.43102808015621935;9.59844126789544E-4;0.024723781900757243;0.0;0.10918771621140733;0.0;8.4784555201617E-4
и;0.14737062402078646;0.014817853099527602;0.00883304228610566;0.007304579512200986;0.004797488952048852;1.0;0.007459163293541446;0.002607330952200463;0.003845073305203963;0.0;0.02935249517748092;0.011645355906087002;0.009412916223322841;0.12009669870327541;0.01547588102378876;0.11235263174246876;0.02175979137438294;0.01178600843845415;0.0062868089442038875;0.15582383320636783;0.03043328054457036;0.003389530237860602;0.0024874329363834854;6.518327380501158E-4;0.006130608672312404;0.0031958427956971388;0.0;0.011667398399739947;0.3632784334257777;0.18524482478386162;0.021269629932409353;0.0033239680149515396;0.051436399630334535
й;0.028424732151577786;0.024595519195724662;0.06513352161830774;0.03185216601055175;0.07788868591568388;0.14068198082840339;0.37753995348014413;1.5274994983794675E-4;0.04175165295570544;0.7198839131452187;0.0;0.22496958425858993;0.06557465493631384;0.013917217651901815;0.10170710075110824;0.12406205449695329;0.07325517291319227;0.024566219790141706;0.06832336630784988;0.023511022095126618;0.28968921451485036;0.06046235710099728;0.025050991773423265;1.0;0.0698355478211941;0.01727654490952454;0.04175165295570544;0.020142351493495733;0.010675281580776132;0.029226157068993803;0.04819333655458571;0.008350330591141087;0.2993937364265117
