CORRECT;MISTAKE;WEIGHT
болота;болотро;0.5
болота;балото;0.2652
болота;боллото;0.0909
болота;болотоэ;0.0909
болото;палатаа;0.5
болото;болотл;0.3333
болото;болотао;0.25
болото;балота;0.2233
болото;балото;0.1219
болото;болто;0.0562
болото;болотаъ;0.0526
болото;больто;0.0526
болото;боото;0.0481
болото;ботото;0.0476
болото;бололто;0.0357
болото;ьолото;0.0313
болото;бололо;0.027
болото;болобо;0.027
болото;болно;0.0192
болото;болоьо;0.009523809523809525
болото;болотро;0.009523809523809525
болото;боллото;0.003194888178913738
болото;блото;0.003194888178913738
болото;болотв;0.003194888178913738
путешественница;путешествиница;0.1304
путешественница;путишественница;0.087
путешественница;путешествинница;0.0435
путешественница;путешевственница;0.0435
путешественница;путешесвенница;0.0435
путешественница;путешественица;0.0435
слизкая;злизькая;0.3333
слизкая;слизкакя;0.1667
ара;арфл;0.5
ара;ёроа;0.5
ара;оёооёёоёоёоёооёёоёооооооооооооооро;0.5
ара;ача;0.5
ара;омра;0.5
ара;аха;0.5
ара;аоа;0.5
ара;ажа;0.5
ара;аква;0.5
ара;аопа;0.5
ара;ааиа;0.5
ара;арпи;0.5
ара;арпл;0.5
ара;арра;0.5
ара;аррч;0.5
ара;арря;0.5
ара;амка;0.5
ара;ооора;0.5
ара;рлра;0.5
ара;ахха;0.5
ара;оьроь;0.5
ара;аррр;0.5
ара;аооа;0.5
ара;опра;0.3333
ара;оро;0.3333
ара;орооооооооооо;0.3333
ара;арпв;0.3333
ара;авпа;0.3333
ара;ашаа;0.3333
ара;аоаро;0.3333
ара;аааа;0.3333
ара;авыа;0.3333
ара;аыа;0.3333
ара;арьо;0.3333
ара;афза;0.3333
ара;ыкра;0.3333
ара;адна;0.3333
ара;аппа;0.3333
ара;аро;0.0611
ара;аша;0.0313
бородавка;породавка;0.5
бородавка;бродавка;0.0769
бородавка;борадавка;0.067
бородавка;барадавка;0.0571
бородавка;бародавка;0.05
бородавка;бородака;0.0286
бородавка;бородовка;0.0286
млекопитающее;млекопетающие;0.5
млекопитающее;млкопитающее;0.5
млекопитающее;млекопетающее;0.4
млекопитающее;млеопитающее;0.3333
млекопитающее;млекопитеющее;0.3333
млекопитающее;млекапетающее;0.25
млекопитающее;млекопитаюжееъ;0.25
млекопитающее;слекопитающее;0.2
млекопитающее;млекоитающее;0.1429
млекопитающее;млекопитаюшее;0.125
млекопитающее;млекапитаюшее;0.125
млекопитающее;млукопитающее;0.0333
принцесса;принцесе;0.5
принцесса;принцеса;0.2603
принцесса;принцесска;0.2576
принцесса;принсесса;0.1422
принцесса;принцаса;0.1111
принцесса;прицесса;0.095
принцесса;принцесаа;0.0833
принцесса;прнцесса;0.0625
принцесса;нринцесса;0.0539
принцесса;принцасса;0.0385
принцесса;пренцеса;0.0365
принцесса;приецесса;0.0345
принцесса;принчесса;0.0345
принцесса;прринцесса;0.0345
принцесса;пренцесса;0.0289
принцесса;принцессса;0.0256
принцесса;прынцесса;0.0256
принцесса;принцесы;0.0248
принцесса;принцеца;0.0161
принцесса;кринцесса;0.0078125
принцесса;принцессп;0.0078125
скользкая;скольское;0.3333
скользкая;скольская;0.2304
скользкая;скользская;0.0455
холодное;холоддная;0.5
холодное;холоднае;0.5
холодное;холоддное;0.125
холодное;холодкое;0.0625
холодная;золодная;0.3333
холодная;холдная;0.3125
холодная;хоолодная;0.1667
холодная;халодное;0.1667
холодная;холодноэ;0.125
холодная;хролодная;0.0769
холодная;холоддная;0.0714
холодная;халодная;0.037
холодная;холоднакя;0.037
ква;ки;0.5
ква;ра;0.5
ква;крза;0.5
ква;счва;0.5
ква;арва;0.5
ква;пыва;0.5
ква;рчва;0.5
ква;апва;0.375
ква;ыва;0.2527
ква;кпра;0.25
ква;кву;0.25
ква;вва;0.25
ква;каза;0.0403
ква;кава;0.008661887694145758
ква;квв;0.008064516129032258
ква;фыва;0.008064516129032258
ква;еа;0.006645758661887694
ква;лва;0.004032258064516129
ква;фва;0.004032258064516129
ква;кквваа;0.004032258064516129
ква;шева;0.004032258064516129
ква;клоа;0.004032258064516129
ква;квек;0.004032258064516129
ква;ува;0.004032258064516129
ква;квтка;0.004032258064516129
ква;гва;0.004032258064516129
ква;пва;0.004032258064516129
ква;кыва;0.004032258064516129
ква;птва;0.004032258064516129
ква;кл;0.004032258064516129
ква;квса;0.004032258064516129
ква;цфва;0.004032258064516129
ква;кпа;0.004032258064516129
ква;кпаа;0.004032258064516129
ква;коа;0.004032258064516129
ква;кгда;0.004032258064516129
ляг;ъг;0.3333
попрыгушка;порыгушка;0.0714
биология;биолгия;0.5
биология;биологич;0.3333
биология;беология;0.3333
биология;биологоия;0.2
биология;биалогия;0.1839
биология;биологие;0.1787
биология;билогия;0.1727
биология;биоология;0.1429
биология;биолдогия;0.1429
биология;биогогия;0.1302
биология;быология;0.1
биология;биолоия;0.0909
биология;бтология;0.0755
биология;юиология;0.0544
биология;биолокия;0.0476
биология;зиология;0.0345
биология;биолошия;0.0286
биология;биолигия;0.0279
биология;биологтя;0.0206
кувшинка;кувшынка;0.5
кувшинка;куфшинка;0.0526
склизкая;склизская;0.3333
склизкая;склизькая;0.1667
перепонки;перпонки;0.5
перепонки;препонки;0.125
лапа;лда;0.3333
лапа;лалка;0.2031
лапа;впа;0.0833
лапа;епа;0.0833
лапа;лапыэ;0.0769
лапа;паапа;0.0769
лапа;ппапа;0.0769
лапа;лаы;0.0769
лапа;лапи;0.0769
лапа;лапоча;0.0625
лапа;ипа;0.0625
лапа;лаша;0.0625
лапа;зпа;0.0625
лапа;опа;0.0625
лапа;лапик;0.04
лапа;дапа;0.0294
лапа;лпа;0.0256
лапка;лалка;0.25
лапка;лапачка;0.1667
лапка;лапоча;0.1667
лапка;лаша;0.1667
лапка;лаочка;0.1667
лапка;лапи;0.1218
лапка;лапата;0.0667
лапка;лапичка;0.0256
вонючая;ванючая;0.4583
вонючая;вонучая;0.25
зелёное;зельоная;0.6
зелёное;зелёноый;0.5
зелёное;зелённая;0.375
зелёное;зелёна;0.35
зелёное;зилёная;0.2
зелёное;зелённое;0.1667
зелёное;знлёное;0.0588
зелёное;зеляное;0.0476
зелёное;зелюное;0.0182
зелёное;зелёноя;0.0182
зелёная;зилёнаяя;0.5
зелёная;зелная;0.2588
зелёная;зееная;0.1667
зелёная;зелённая;0.1032
зелёная;зелегная;0.0909
зелёная;зелёня;0.0667
зелёная;зелеая;0.0278
зелёная;зельоная;0.019
зелёная;зелкная;0.0030211480362537764
зелёная;зилёная;0.0030211480362537764
животное;животнве;0.5
животное;животрое;0.225
животное;жевотноее;0.2
животное;животнные;0.1667
животное;жыватное;0.1429
животное;жививотное;0.1429
животное;живтное;0.1307
животное;животкое;0.1301
животное;животые;0.1263
животное;живоьное;0.125
животное;житвотное;0.125
животное;животние;0.1171
животное;животног;0.1111
животное;жывотное;0.1036
животное;жтвотное;0.1003
животное;жиеотное;0.1
животное;животнок;0.0991
животное;жиотное;0.0879
животное;животнное;0.0785
животное;живатное;0.0774
животное;жывотнае;0.0769
животное;ждивотное;0.0769
животное;животвое;0.0763
животное;жиивотное;0.0722
животное;жевотное;0.0715
животное;животноэ;0.0711
животное;животтное;0.0706
животное;животноу;0.0705
животное;жиаотное;0.0697
животное;животнае;0.0682
животное;жичвотное;0.0667
животное;животнон;0.0667
животное;животое;0.061
животное;жимвотное;0.0609
животное;живетное;0.0588
животное;живоетное;0.0588
животное;живитное;0.0588
животное;животне;0.0581
животное;дивотное;0.0546
животное;живутное;0.0526
животное;жисотное;0.0506
животное;жвотное;0.0462
животное;фивотное;0.0403
животное;зивотное;0.0385
животное;эивотное;0.036
животное;жовотное;0.0294
животное;живлтное;0.0287
животное;живвотное;0.0271
